628673; 2; percentage1; 48.6; 51.0
20102947; 656; turnout; 58.6; 54.9
20102947; 658; turnout; 58.6; 54.9
20102947; 659; electoral_vote1; 332; 326
20102947; 659; popular_vote1; 65899660; 69297482
20102947; 660; turnout; 58.6; 54.9
20102947; 661; turnout; 58.6; 54.9
20102947; 662; turnout; 58.6; 54.9
20102947; 663; turnout; 58.6; 54.9
20102947; 664; turnout; 58.6; 54.9
20102947; 665; turnout; 58.6; 54.9
20102947; 665; electoral_vote1; 332; 206
20102947; 665; popular_vote1; 65899660; 60933504
20102947; 665; percentage1; 51.1; 47.2
20102947; 665; electoral_vote2; 206; 332
20102947; 665; popular_vote2; 60932152; 65915795
20102947; 665; percentage2; 47.2; 51.1
20102947; 666; turnout; 58.6; 54.9
20102947; 667; turnout; 58.6; 54.9
20102947; 667; popular_vote1; 65899660; 60915795
20102947; 667; percentage1; 51.1; 47.1
20102947; 667; popular_vote2; 60932152; 65933504
20102947; 667; percentage2; 47.2; 51.3
20102947; 668; turnout; 58.6; 54.9
20102947; 669; turnout; 58.6; 54.9
20102947; 670; turnout; 58.6; 54.9
20102947; 671; turnout; 58.6; 54.9
20102947; 672; turnout; 58.6; 54.9
20102947; 673; turnout; 58.6; 54.9
20102947; 673; popular_vote1; 65899660; 61915795
20102947; 673; percentage1; 51.1; 48.8
20102947; 673; popular_vote2; 60932152; 65933504
20102947; 673; percentage2; 47.2; 51.2
20102947; 674; turnout; 58.6; 54.9
20102947; 675; turnout; 58.6; 54.9
20102947; 676; turnout; 58.6; 54.9
20102947; 677; turnout; 58.6; 54.9
20102947; 678; turnout; 58.6; 54.9
20102947; 679; turnout; 58.6; 54.9
20102947; 680; turnout; 58.6; 54.9
20102947; 681; turnout; 58.6; 54.9
20102947; 681; popular_vote1; 65899660; 57915795
20102947; 681; popular_vote2; 60932152; 69933504
20102947; 682; turnout; 58.6; 54.9
20102947; 683; turnout; 58.6; 48.9
20102947; 684; turnout; 58.6; 54.9
20102947; 685; turnout; 58.6; 54.9
20102947; 685; electoral_vote1; 332; 278
20102947; 685; electoral_vote2; 206; 270
20102947; 686; turnout; 58.6; 54.9
20102947; 687; turnout; 58.6; 54.9
20102947; 687; electoral_vote1; 332; 292
20102947; 688; turnout; 58.6; 54.9
20102947; 689; turnout; 58.6; 54.9
20102947; 689; popular_vote2; 60932152; 67933504
20102947; 690; turnout; 58.6; 54.9
20102947; 691; turnout; 58.6; 54.9
20102947; 691; popular_vote2; 60932152; 69
20102947; 692; turnout; 58.6; 54.9
20102947; 693; type; presidential; Fürher
20102947; 693; turnout; 58.6; 54.9
20102947; 693; percentage1; 51.1; 100.0
20102947; 693; electoral_vote2; 206; 0
20102947; 693; popular_vote2; 60932152; 0
20102947; 693; percentage2; 47.2; 0.0
20102947; 694; turnout; 58.6; 54.9
20102947; 695; type; presidential; Fürher
20102947; 695; turnout; 58.6; 54.9
20102947; 695; percentage1; 51.1; 100.0
20102947; 695; electoral_vote2; 206; 0
20102947; 695; popular_vote2; 60932152; 0
20102947; 695; percentage2; 47.2; 0.0
20102947; 696; turnout; 58.6; 54.9
20102947; 697; type; presidential; Fürher
20102947; 697; turnout; 58.6; 54.9
20102947; 697; percentage1; 51.1; 100.0
20102947; 697; electoral_vote2; 206; 0
20102947; 697; popular_vote2; 60932152; 0
20102947; 697; percentage2; 47.2; 0.0
20102947; 698; turnout; 58.6; 54.9
20102947; 699; type; presidential; Fürher
20102947; 699; turnout; 58.6; 54.9
20102947; 699; percentage1; 51.1; 100.0
20102947; 699; electoral_vote2; 206; 0
20102947; 699; popular_vote2; 60932152; 0
20102947; 699; percentage2; 47.2; 0.0
20102947; 700; turnout; 58.6; 54.9
20102947; 701; turnout; 58.6; 54.9
20102947; 702; turnout; 58.6; 73.2
20102947; 703; turnout; 58.6; 54.9
20102947; 704; turnout; 58.6; 54.9
20102947; 705; turnout; 58.6; 54.9
20102947; 705; percentage1; 51.1; 528581.0
20102947; 705; percentage2; 47.2; 471419.0
20102947; 706; turnout; 58.6; 54.9
20102947; 707; turnout; 58.6; 55.9
20102947; 707; percentage1; 51.1; 49.1
20102947; 708; turnout; 58.6; 54.9
20102947; 709; type; presidential; parliamentary
20102947; 709; turnout; 58.6; 54.9
20102947; 709; electoral_vote1; 332; 436
20102947; 709; popular_vote1; 65899660; 78354122
20102947; 709; percentage1; 51.1; 61.4
20102947; 709; electoral_vote2; 206; 102
20102947; 709; popular_vote2; 60932152; 48495177
20102947; 709; percentage2; 47.2; 38.4
20102947; 710; turnout; 58.6; 54.9
20102947; 711; turnout; 58.6; 54.9
20102947; 711; electoral_vote2; 206; 114
20102947; 712; turnout; 58.6; 54.9
20102947; 713; votes_for_election; 538; 666
20102947; 713; needed_votes; 270; 420
20102947; 713; turnout; 58.6; 54.9
20102947; 714; turnout; 58.6; 54.9
20102947; 715; turnout; 58.6; 54.9
20102947; 716; turnout; 58.6; 54.9
20102947; 717; turnout; 58.6; 54.9
20102947; 717; electoral_vote1; 332; 0
20102947; 717; popular_vote1; 65899660; 0
20102947; 717; percentage1; 51.1; 0.0
20102947; 717; electoral_vote2; 206; 538
20102947; 717; popular_vote2; 60932152; 126849299
20102947; 717; percentage2; 47.2; 100.0
20102947; 718; turnout; 58.6; 54.9
20102947; 719; turnout; 58.6; 54.9
20102947; 720; turnout; 58.6; 54.9
20102947; 721; turnout; 58.6; 54.9
20102947; 722; turnout; 58.6; 100.0
20102947; 723; turnout; 58.6; 54.9
20102947; 724; turnout; 58.6; 51.9
20102947; 725; turnout; 58.6; 51.9
20102947; 726; turnout; 58.6; 54.9
20102947; 727; turnout; 58.6; 53.9
20102947; 728; turnout; 58.6; 54.9
20102947; 729; turnout; 58.6; 54.9
20102947; 729; electoral_vote2; 206; 0
20102947; 729; popular_vote2; 60932152; 1275971
20102947; 729; percentage2; 47.2; 0.99
20102947; 730; turnout; 58.6; 54.9
20102947; 731; turnout; 58.6; 54.9
20102947; 732; turnout; 58.6; 54.9
20102947; 732; popular_vote1; 65899660; 85915795
20102947; 732; percentage1; 51.1; 64.1
20102947; 732; popular_vote2; 60932152; 55933504
20102947; 732; percentage2; 47.2; 36.2
20102947; 733; turnout; 58.6; 54.9
20102947; 734; turnout; 58.6; 54.9
48410011; 8; popular_vote1; 81268773; 213
48410011; 8; percentage1; 51.31; 345.0
48410011; 8; popular_vote2; 74216728; 245
48410011; 8; percentage2; 46.86; 347.0
48410011; 9; popular_vote1; 81268773; 213
48410011; 9; percentage1; 51.31; 345.0
48410011; 9; popular_vote2; 74216728; 245
48410011; 9; percentage2; 46.86; 347.0
48410011; 10; popular_vote1; 81268773; 213
48410011; 10; percentage1; 51.31; 48.2
48410011; 10; popular_vote2; 74216728; 245
48410011; 10; percentage2; 46.86; 51.8
48410011; 11; popular_vote1; 81268773; 213
48410011; 11; percentage1; 51.31; 48.2
48410011; 11; popular_vote2; 74216728; 245
48410011; 11; percentage2; 46.86; 51.8
48410011; 12; popular_vote1; 81268773; 213
48410011; 12; percentage1; 51.31; 48.2
48410011; 12; popular_vote2; 74216728; 245
48410011; 12; percentage2; 46.86; 51.8
48410011; 13; popular_vote1; 81268773; 213
48410011; 13; percentage1; 51.31; 48.2
48410011; 13; popular_vote2; 74216728; 245
48410011; 13; percentage2; 46.86; 51.8
48410011; 14; popular_vote1; 81268773; 213
48410011; 14; percentage1; 51.31; 48.2
48410011; 14; popular_vote2; 74216728; 245
48410011; 14; percentage2; 46.86; 51.8
48410011; 15; popular_vote1; 81268773; 213
48410011; 15; percentage1; 51.31; 48.2
48410011; 15; popular_vote2; 74216728; 245
48410011; 15; percentage2; 46.86; 51.8
48410011; 16; electoral_vote1; 306; 203
48410011; 16; popular_vote1; 81268773; 201567343
48410011; 16; percentage1; 51.31; 43.0
48410011; 16; electoral_vote2; 232; 307
48410011; 16; popular_vote2; 74216728; 303453182
48410011; 17; electoral_vote1; 306; 203
48410011; 17; popular_vote1; 81268773; 201567343
48410011; 17; percentage1; 51.31; 43.0
48410011; 17; electoral_vote2; 232; 307
48410011; 17; popular_vote2; 74216728; 303453182
48410011; 18; electoral_vote1; 306; 203
48410011; 18; popular_vote1; 81268773; 201567343
48410011; 18; percentage1; 51.31; 43.0
48410011; 18; electoral_vote2; 232; 307
48410011; 18; popular_vote2; 74216728; 303453182
48410011; 19; electoral_vote1; 306; 203
48410011; 19; popular_vote1; 81268773; 201567343
48410011; 19; percentage1; 51.31; 43.0
48410011; 19; electoral_vote2; 232; 307
48410011; 19; popular_vote2; 74216728; 303453182
48410011; 20; electoral_vote1; 306; 203
48410011; 20; popular_vote1; 81268773; 201567343
48410011; 20; percentage1; 51.31; 43.0
48410011; 20; electoral_vote2; 232; 307
48410011; 20; popular_vote2; 74216728; 303453182
48410011; 21; electoral_vote1; 306; 203
48410011; 21; popular_vote1; 81268773; 201567343
48410011; 21; percentage1; 51.31; 43.0
48410011; 21; electoral_vote2; 232; 307
48410011; 21; popular_vote2; 74216728; 303453182
48410011; 22; electoral_vote1; 306; 203
48410011; 22; popular_vote1; 81268773; 201567343
48410011; 22; percentage1; 51.31; 43.0
48410011; 22; electoral_vote2; 232; 307
48410011; 22; popular_vote2; 74216728; 303453182
48410011; 23; electoral_vote1; 306; 203
48410011; 23; percentage1; 51.31; 43.0
48410011; 23; electoral_vote2; 232; 307
48410011; 23; popular_vote2; 74216728; 303453182
48410011; 24; electoral_vote1; 306; 203
48410011; 24; percentage1; 51.31; 43.0
48410011; 24; electoral_vote2; 232; 307
48410011; 24; popular_vote2; 74216728; 303453182
48410011; 25; electoral_vote1; 306; 203
48410011; 25; percentage1; 51.31; 43.0
48410011; 25; electoral_vote2; 232; 307
48410011; 25; popular_vote2; 74216728; 303453182
48410011; 26; electoral_vote1; 306; 203
48410011; 26; percentage1; 51.31; 43.0
48410011; 26; electoral_vote2; 232; 307
48410011; 26; popular_vote2; 74216728; 303453182
48410011; 27; electoral_vote1; 306; 203
48410011; 27; percentage1; 51.31; 43.0
48410011; 27; electoral_vote2; 232; 307
48410011; 27; popular_vote2; 74216728; 303453182
48410011; 28; electoral_vote1; 306; 203
48410011; 28; percentage1; 51.31; 43.0
48410011; 28; electoral_vote2; 232; 307
48410011; 28; popular_vote2; 74216728; 303453182
48410011; 29; electoral_vote1; 306; 203
48410011; 29; percentage1; 51.31; 43.0
48410011; 29; electoral_vote2; 232; 307
48410011; 29; popular_vote2; 74216728; 303453182
48410011; 30; electoral_vote1; 306; 203
48410011; 30; percentage1; 51.31; 43.0
48410011; 30; electoral_vote2; 232; 307
48410011; 30; popular_vote2; 74216728; 303453182
48410011; 31; electoral_vote1; 306; 203
48410011; 31; percentage1; 51.31; 43.0
48410011; 31; electoral_vote2; 232; 307
48410011; 31; popular_vote2; 74216728; 303453182
48410011; 32; electoral_vote1; 306; 203
48410011; 32; percentage1; 51.31; 43.0
48410011; 32; electoral_vote2; 232; 307
48410011; 32; popular_vote2; 74216728; 303453182
48410011; 33; electoral_vote1; 306; 203
48410011; 33; percentage1; 51.31; 43.0
48410011; 33; electoral_vote2; 232; 307
48410011; 33; popular_vote2; 74216728; 303453182
48410011; 34; electoral_vote1; 306; 203
48410011; 34; percentage1; 51.31; 43.0
48410011; 34; electoral_vote2; 232; 307
48410011; 34; popular_vote2; 74216728; 303453182
48410011; 35; electoral_vote1; 306; 203
48410011; 35; percentage1; 51.31; 43.0
48410011; 35; electoral_vote2; 232; 307
48410011; 35; popular_vote2; 74216728; 303453182
48410011; 36; electoral_vote1; 306; 203
48410011; 36; percentage1; 51.31; 43.0
48410011; 36; electoral_vote2; 232; 307
48410011; 36; popular_vote2; 74216728; 303453182
48410011; 37; electoral_vote1; 306; 203
48410011; 37; percentage1; 51.31; 43.0
48410011; 37; electoral_vote2; 232; 307
48410011; 37; popular_vote2; 74216728; 303453182
